Team,Beep Boop Beep,Big Hog,craigbear,Drinking & Sex,Graybo,Hweedo,Meek and Mills,PHatty's,rem dogz,Schmop,Spartans,The Bugs of June,The Dukes of Schneid,tmacastar
Opp Wk1,The Bugs of June,Hweedo,PHatty's,The Dukes of Schneid,rem dogz,Big Hog,Spartans,craigbear,Graybo,tmacastar,Meek and Mills,Beep Boop Beep,Drinking & Sex,Schmop
Opp Wk2,Graybo,Meek and Mills,Spartans,rem dogz,Beep Boop Beep,The Dukes of Schneid,Big Hog,Schmop,Drinking & Sex,PHatty's,craigbear,tmacastar,Hweedo,The Bugs of June
Opp Wk3,tmacastar,craigbear,Big Hog,Graybo,Drinking & Sex,rem dogz,The Dukes of Schneid,The Bugs of June,Hweedo,Spartans,Schmop,PHatty's,Meek and Mills,Beep Boop Beep
Opp Wk4,PHatty's,Schmop,The Dukes of Schneid,Hweedo,tmacastar,Drinking & Sex,rem dogz,Beep Boop Beep,Meek and Mills,Big Hog,The Bugs of June,Spartans,craigbear,Graybo
Opp Wk5,Spartans,The Bugs of June,rem dogz,Meek and Mills,Hweedo,Graybo,Drinking & Sex,tmacastar,craigbear,The Dukes of Schneid,Beep Boop Beep,Big Hog,Schmop,PHatty's
Opp Wk6,Big Hog,Beep Boop Beep,Drinking & Sex,craigbear,PHatty's,Meek and Mills,Hweedo,Graybo,Schmop,rem dogz,tmacastar,The Dukes of Schneid,The Bugs of June,Spartans
Opp Wk7,The Dukes of Schneid,tmacastar,Hweedo,Schmop,Meek and Mills,craigbear,Graybo,Spartans,The Bugs of June,Drinking & Sex,PHatty's,rem dogz,Beep Boop Beep,Big Hog
Opp Wk8,rem dogz,PHatty's,Meek and Mills,The Bugs of June,Spartans,Schmop,craigbear,Big Hog,Beep Boop Beep,Hweedo,Graybo,Drinking & Sex,tmacastar,The Dukes of Schneid
Opp Wk9,Drinking & Sex,Spartans,Graybo,Beep Boop Beep,craigbear,The Bugs of June,Schmop,The Dukes of Schneid,tmacastar,Meek and Mills,Big Hog,Hweedo,PHatty's,rem dogz
Opp Wk10,Hweedo,Graybo,Schmop,tmacastar,Big Hog,Beep Boop Beep,The Bugs of June,rem dogz,PHatty's,craigbear,The Dukes of Schneid,Meek and Mills,Spartans,Drinking & Sex
Opp Wk11,Meek and Mills,The Dukes of Schneid,The Bugs of June,PHatty's,Schmop,tmacastar,Beep Boop Beep,Drinking & Sex,Spartans,Graybo,rem dogz,craigbear,Big Hog,Hweedo
Opp Wk12,craigbear,rem dogz,Beep Boop Beep,Spartans,The Dukes of Schneid,PHatty's,tmacastar,Hweedo,Big Hog,The Bugs of June,Drinking & Sex,Schmop,Graybo,Meek and Mills
Opp Wk13,Schmop,Drinking & Sex,tmacastar,Big Hog,The Bugs of June,Spartans,PHatty's,Meek and Mills,The Dukes of Schneid,Beep Boop Beep,Hweedo,Graybo,rem dogz,craigbear
Opp Wk14,,,,,,,,,,,,,,
Opp Wk15,,,,,,,,,,,,,,
Opp Wk16,,,,,,,,,,,,,,
Opp Wk17,,,,,,,,,,,,,,
